location	LR	alpha
0.000000	0.033049	2.527186e+02
10100.505051	0.000000	2.016978e-01
20201.010101	0.003251	2.926585e-02
30301.515152	0.407521	1.459696e-02
40402.020202	0.192834	3.388721e-02
50502.525253	0.000000	1.605405e+00
60603.030303	0.320895	6.165385e-03
70703.535354	0.117793	1.081763e-02
80804.040404	0.286371	5.033080e-03
90904.545455	2.325098	1.655529e-03
101005.050505	0.036242	5.712968e-01
111105.555556	0.003508	6.720153e-02
121206.060606	0.031069	6.816001e-02
131306.565657	0.000000	8.932332e-01
141407.070707	1.275843	3.698790e-02
151507.575758	3.055120	1.925074e-03
161608.080808	0.160737	1.331336e-01
171708.585859	0.000000	1.354618e-01
181809.090909	0.000000	2.933333e-01
191909.595960	0.000000	3.030613e-01
202010.101010	0.378218	1.634872e-02
212110.606061	0.000000	1.207317e-01
222211.111111	0.055559	1.395338e+00
232311.616162	0.000000	5.551403e-01
242412.121212	0.566741	4.512532e-02
252512.626263	0.954452	4.528975e-03
262613.131313	0.051614	1.340652e-02
272713.636364	0.000000	1.629630e-01
282814.141414	0.082939	3.004598e-02
292914.646465	1.074363	1.339918e-02
303015.151515	0.005408	3.417846e-02
313115.656566	0.103788	5.220681e-02
323216.161616	0.000000	1.813741e-01
333316.666667	0.249830	6.094435e-02
343417.171717	0.059610	5.876866e-02
353517.676768	0.372529	1.517555e-01
363618.181818	2.093227	1.987960e-03
373718.686869	1.283160	4.737708e-03
383819.191919	2.846275	6.167688e-04
393919.696970	0.536245	4.212874e-03
404020.202020	2.077995	9.777754e-04
414120.707071	2.942714	2.086026e-03
424221.212121	0.426276	6.313266e-02
434321.717172	0.000000	1.944354e-01
444422.222222	0.594001	9.884173e-03
454522.727273	0.041553	3.189898e-02
464623.232323	0.055559	2.290853e-01
474723.737374	0.290449	1.369388e-02
484824.242424	2.915557	1.930216e-03
494924.747475	1.747402	7.400440e-04
505025.252525	0.000000	4.848981e-01
515125.757576	0.000000	2.084211e+00
525226.262626	0.308975	1.038256e-01
535326.767677	0.000000	3.712501e+00
545427.272727	0.424522	2.179284e-02
555527.777778	0.064873	2.951316e-02
565628.282828	0.031193	5.702595e-03
575728.787879	0.944288	8.622288e-03
585829.292929	0.384759	4.400511e-02
595929.797980	0.602260	1.006606e-02
606030.303030	0.033818	3.136313e-02
616130.808081	0.000000	6.252633e-01
626231.313131	0.314795	4.248633e-03
636331.818182	0.190724	3.349700e-03
646432.323232	0.192703	2.475564e-02
656532.828283	0.881046	3.075189e-03
666633.333333	0.000000	5.142858e-01
676733.838384	0.558239	4.219465e-03
686834.343434	0.010148	1.142650e-02
696934.848485	0.146433	8.893473e-03
707035.353535	0.962735	4.966190e-03
717135.858586	1.112134	1.801233e-02
727236.363636	2.301239	3.511574e-03
737336.868687	0.000000	7.356038e-02
747437.373737	2.358812	7.501854e-04
757537.878788	38.659413	7.664474e-05
767638.383838	15.952344	4.558866e-05
777738.888889	79.422403	1.726789e-05
787839.393939	94.007826	1.301183e-05
797939.898990	100.506903	1.049409e-05
808040.404040	0.286776	1.923639e-01
818140.909091	120.796186	8.959858e-06
828241.414141	95.047898	1.427842e-05
838341.919192	11.921391	5.707802e-05
848442.424242	0.075934	1.194297e-01
858542.929293	22.217649	1.353178e-04
868643.434343	0.634359	1.241230e-02
878743.939394	0.000088	9.219253e-02
888844.444444	1.682115	3.421486e-03
898944.949495	0.039488	5.978927e-01
909045.454545	0.000000	2.640001e+00
919145.959596	0.000000	1.153398e-01
929246.464646	0.000000	4.534352e-01
939346.969697	1.816980	1.451990e-02
949447.474747	0.273800	5.058221e-02
959547.979798	0.036242	2.400407e-01
969648.484848	0.256087	1.117387e-01
979748.989899	0.350453	1.161025e-02
989849.494949	0.000000	2.016978e-01
999950.000000	0.203803	1.310192e+02
