location	LR	alpha
0.000070	0.614896	2.984105e+02
0.010170	0.014075	4.351385e+02
0.020270	0.569856	3.394957e+02
0.030371	0.492705	3.768488e+02
0.040471	0.805899	1.311372e+02
0.050571	3.157473	1.345441e+02
0.060671	1.479408	3.000551e+02
0.070771	0.026211	4.621003e+02
0.080872	0.002822	5.962412e+02
0.090972	0.021550	4.934612e+02
0.101072	2.343268	2.859309e+02
0.111172	1.506445	2.969147e+02
0.121272	0.000000	1.200000e+03
0.131373	0.000000	1.200000e+03
0.141473	0.000000	1.200000e+03
0.151573	0.000000	1.200000e+03
0.161673	0.000000	1.200000e+03
0.171773	0.000000	1.200000e+03
0.181874	0.099743	4.353132e+02
0.191974	1.381965	3.079203e+02
0.202074	1.033951	3.434680e+02
0.212174	2.154441	3.220460e+02
0.222274	1.470746	2.794060e+02
0.232375	1.069706	2.951130e+02
0.242475	1.077523	3.065731e+02
0.252575	1.692958	1.573912e+02
0.262675	0.395448	2.911844e+02
0.272775	3.450101	2.514857e+02
0.282876	6.003813	1.682908e+02
0.292976	1.100169	2.139959e+02
0.303076	0.129144	4.068798e+02
0.313176	0.494835	3.764496e+02
0.323276	0.000000	1.200000e+03
0.333377	0.000000	1.200000e+03
0.343477	0.000000	1.200000e+03
0.353577	0.000000	1.200000e+03
0.363677	0.000000	1.200000e+03
0.373777	0.000000	1.200000e+03
0.383878	0.000000	1.200000e+03
0.393978	0.000000	1.200000e+03
0.404078	0.684590	3.253120e+02
0.414178	0.662380	2.462983e+02
0.424278	0.016352	3.019232e+02
0.434379	0.328747	3.701913e+02
0.444479	0.000000	1.200000e+03
0.454579	0.000000	1.200000e+03
0.464679	0.000000	1.200000e+03
0.474779	0.000000	1.200000e+03
0.484880	0.002246	6.004105e+02
0.494980	0.020251	5.027620e+02
0.505080	0.000000	1.200000e+03
0.515180	1.299639	2.648290e+02
0.525281	2.931573	2.836073e+02
0.535381	1.156347	2.110658e+02
0.545481	0.000000	1.200000e+03
0.555581	0.000000	1.200000e+03
0.565681	0.000000	1.200000e+03
0.575782	0.000000	1.200000e+03
0.585882	0.000000	1.200000e+03
0.595982	0.000257	5.686034e+02
0.606082	1.324616	3.556909e+02
0.616182	0.000000	1.200000e+03
0.626283	0.000000	1.200000e+03
0.636383	0.005309	5.298112e+02
0.646483	0.000000	1.200000e+03
0.656583	0.000000	1.200000e+03
0.666683	0.256500	4.188420e+02
0.676784	0.287745	4.068166e+02
0.686884	0.000000	1.200000e+03
0.696984	0.000000	9.582418e+02
0.707084	3.488032	6.620802e+01
0.717184	18.182189	4.719433e+01
0.727285	36.034868	3.501623e+01
0.737385	83.019692	2.319189e+01
0.747485	110.108214	1.875728e+01
0.757585	133.743290	1.567368e+01
0.767685	165.525459	1.194834e+01
0.777786	216.620598	8.571521e+00
0.787886	239.580639	7.523746e+00
0.797986	240.742911	7.364470e+00
0.808086	198.909861	8.797181e+00
0.818186	154.567455	1.217465e+01
0.828287	122.982649	1.524851e+01
0.838387	107.269187	1.791886e+01
0.848487	71.511328	2.354547e+01
0.858587	29.400546	4.009847e+01
0.868687	9.686272	5.259413e+01
0.878788	2.471661	2.430015e+02
0.888888	1.772864	2.898951e+02
0.898988	1.580522	3.225889e+02
0.909088	0.000000	1.200000e+03
0.919188	0.000000	1.200000e+03
0.929289	0.000000	1.200000e+03
0.939389	0.402047	1.048490e+02
0.949489	1.229127	1.273212e+02
0.959589	0.000007	7.913172e+02
0.969689	1.088225	1.177577e+02
0.979790	3.582178	1.189993e+02
0.989890	3.394676	1.268216e+02
0.999990	0.147440	2.330608e+02
