location	LR	alpha
0.000000	0.000000	1.200000e+03
0.010101	0.000000	1.200000e+03
0.020201	0.000000	1.200000e+03
0.030302	0.000000	1.200000e+03
0.040402	0.037021	4.667863e+02
0.050503	0.795176	1.499404e+02
0.060603	4.012562	1.144182e+02
0.070704	4.076129	1.445994e+02
0.080804	4.051578	1.717929e+02
0.090905	3.193164	3.270190e+02
0.101005	0.947301	3.700271e+02
0.111106	0.000000	1.200000e+03
0.121206	0.000000	1.200000e+03
0.131307	0.000000	1.200000e+03
0.141407	0.000000	1.200000e+03
0.151508	0.000000	1.200000e+03
0.161608	0.006183	4.803124e+02
0.171709	3.573513	1.366293e+02
0.181809	3.038281	1.769149e+02
0.191910	2.743485	1.935621e+02
0.202010	0.224910	4.044301e+02
0.212111	0.866008	3.416332e+02
0.222211	0.621909	3.542590e+02
0.232312	0.053855	4.553053e+02
0.242412	0.103096	2.720429e+02
0.252513	0.000000	1.200000e+03
0.262613	0.002300	5.738976e+02
0.272714	0.038598	4.812017e+02
0.282814	0.274227	4.071227e+02
0.292915	0.170267	4.157508e+02
0.303015	0.003605	4.687793e+02
0.313116	0.000000	1.200000e+03
0.323216	0.000399	6.241496e+02
0.333317	0.000000	1.200000e+03
0.343417	0.000000	1.200000e+03
0.353518	0.000000	1.200000e+03
0.363618	0.481094	3.741246e+02
0.373719	0.000000	1.200000e+03
0.383819	0.000000	1.200000e+03
0.393920	0.000000	1.200000e+03
0.404020	0.003221	5.551047e+02
0.414121	0.000528	6.324499e+02
0.424221	0.000000	1.200000e+03
0.434322	0.000000	1.200000e+03
0.444422	0.000000	1.142615e+03
0.454523	1.800902	3.094028e+02
0.464623	2.239192	1.899083e+02
0.474724	3.831696	1.957376e+02
0.484824	4.877053	1.031851e+02
0.494925	2.611722	1.651371e+02
0.505025	0.912915	3.526448e+02
0.515126	0.939835	3.540905e+02
0.525226	0.000000	1.200000e+03
0.535327	0.000000	1.200000e+03
0.545427	0.000000	1.200000e+03
0.555528	0.000000	1.200000e+03
0.565628	0.648245	3.460852e+02
0.575729	1.264789	2.853568e+02
0.585829	4.288385	2.213105e+02
0.595930	6.233280	2.276512e+02
0.606030	2.847098	2.213676e+02
0.616131	0.001016	5.563041e+02
0.626231	0.000000	1.200000e+03
0.636332	0.000000	1.200000e+03
0.646432	0.000000	1.200000e+03
0.656533	0.000000	1.200000e+03
0.666633	0.000000	1.200000e+03
0.676734	0.000000	1.200000e+03
0.686834	0.000000	1.200000e+03
0.696935	0.000000	1.200000e+03
0.707035	1.148841	1.659850e+02
0.717136	2.959310	2.996033e+02
0.727236	2.476198	3.053101e+02
0.737337	0.093605	4.606098e+02
0.747437	12.992042	6.223295e+01
0.757538	40.325988	3.892790e+01
0.767638	70.428889	2.336882e+01
0.777739	93.007178	1.591418e+01
0.787839	100.963337	1.265971e+01
0.797940	108.735675	1.040137e+01
0.808040	123.710368	9.267375e+00
0.818141	138.710950	9.461594e+00
0.828241	133.808981	1.204893e+01
0.838342	98.625736	2.015857e+01
0.848442	95.785639	2.795362e+01
0.858543	87.357125	3.411446e+01
0.868643	67.184137	4.035087e+01
0.878744	46.394908	4.306530e+01
0.888844	27.231694	4.371897e+01
0.898945	9.750716	7.484880e+01
0.909045	7.656568	8.022151e+01
0.919146	5.991592	7.508283e+01
0.929246	0.324461	3.901819e+02
0.939347	1.753997	2.603070e+02
0.949447	0.004644	5.189536e+02
0.959548	0.009219	5.235541e+02
0.969648	0.410042	4.083478e+02
0.979749	0.587845	2.747997e+02
0.989849	1.886911	2.818455e+02
0.999950	2.470019	2.750279e+02
