location	LR	alpha
0.000110	0.078129	2.259286e+02
0.010209	0.215417	4.158502e+02
0.020308	0.004923	5.133389e+02
0.030406	1.497565	1.804073e+02
0.040505	3.786392	3.052111e+02
0.050604	2.627247	2.065353e+02
0.060703	0.002798	5.891645e+02
0.070802	0.000000	1.200000e+03
0.080900	0.000000	1.200000e+03
0.090999	0.000320	6.276075e+02
0.101098	0.305929	3.783456e+02
0.111197	0.119098	4.004152e+02
0.121295	0.000000	1.200000e+03
0.131394	0.684562	1.599263e+02
0.141493	2.465297	1.298566e+02
0.151592	5.697421	1.195239e+02
0.161691	4.543927	1.289581e+02
0.171789	2.344472	2.581509e+02
0.181888	3.214236	2.711270e+02
0.191987	2.712806	2.977293e+02
0.202086	1.186110	3.509518e+02
0.212185	0.000000	1.200000e+03
0.222283	0.186027	4.416526e+02
0.232382	3.150285	3.061524e+02
0.242481	5.212497	2.269534e+02
0.252580	4.603017	1.546707e+02
0.262678	1.377272	1.243268e+02
0.272777	0.000000	1.200000e+03
0.282876	0.043995	3.165638e+02
0.292975	1.625073	3.283516e+02
0.303074	0.000000	1.200000e+03
0.313172	0.000000	1.200000e+03
0.323271	0.000000	1.200000e+03
0.333370	0.277309	4.124705e+02
0.343469	0.236040	3.792635e+02
0.353568	0.696748	3.664903e+02
0.363666	0.000001	8.274552e+02
0.373765	0.000000	1.180539e+03
0.383864	0.000000	1.200000e+03
0.393963	0.000000	1.200000e+03
0.404062	1.084610	3.712544e+02
0.414160	0.968438	3.579688e+02
0.424259	0.000000	1.200000e+03
0.434358	0.000000	1.200000e+03
0.444457	0.000000	1.132788e+03
0.454555	0.000000	1.200000e+03
0.464654	0.000000	1.200000e+03
0.474753	0.853161	3.590941e+02
0.484852	0.622189	3.975886e+02
0.494951	0.006177	5.478223e+02
0.505049	0.000000	1.200000e+03
0.515148	0.000000	1.200000e+03
0.525247	0.165410	4.231214e+02
0.535346	0.000000	1.200000e+03
0.545445	0.000000	1.200000e+03
0.555543	0.000000	1.200000e+03
0.565642	0.000000	1.200000e+03
0.575741	0.000000	1.200000e+03
0.585840	0.000000	1.200000e+03
0.595938	0.220737	4.260702e+02
0.606037	0.398757	3.637140e+02
0.616136	5.072493	2.338043e+02
0.626235	2.123516	3.067002e+02
0.636334	0.000000	1.200000e+03
0.646432	0.000000	1.200000e+03
0.656531	0.000000	1.200000e+03
0.666630	2.186277	6.481537e+01
0.676729	1.996794	2.255651e+02
0.686828	2.399116	4.326170e+01
0.696926	12.363747	3.589016e+01
0.707025	28.059041	3.095319e+01
0.717124	42.415696	2.837486e+01
0.727223	59.276396	2.498016e+01
0.737322	90.611955	1.655297e+01
0.747420	115.615205	1.280161e+01
0.757519	139.772538	1.095396e+01
0.767618	177.420219	8.833362e+00
0.777717	225.648980	6.419683e+00
0.787815	232.499432	6.260537e+00
0.797914	201.045672	7.059714e+00
0.808013	146.539644	9.173928e+00
0.818112	105.799118	1.245161e+01
0.828211	83.933825	1.496685e+01
0.838309	45.451471	1.944149e+01
0.848408	15.025306	3.060213e+01
0.858507	0.000000	1.200000e+03
0.868606	0.000000	1.200000e+03
0.878705	0.000000	1.200000e+03
0.888803	0.000000	1.200000e+03
0.898902	0.000000	1.200000e+03
0.909001	0.000000	1.146231e+03
0.919100	0.000000	1.200000e+03
0.929198	0.000000	1.200000e+03
0.939297	0.000000	1.200000e+03
0.949396	0.006367	5.397630e+02
0.959495	1.041272	3.430937e+02
0.969594	3.801341	2.867845e+02
0.979692	0.263107	3.990757e+02
0.989791	0.326802	3.348247e+02
0.999890	0.034996	3.600332e+02
