location	LR	alpha
110.000000	0.034638	3.254697e+01
10208.787879	0.000000	5.657144e-01
20307.575758	0.047883	2.997636e-02
30406.363636	0.884631	1.075861e-02
40505.151515	0.000000	7.920002e-01
50603.939394	0.000000	2.731035e-01
60702.727273	0.000000	5.280000e-01
70801.515152	0.007092	5.662257e-02
80900.303030	0.000000	1.237500e+00
90999.090909	0.496228	8.284120e-03
101097.878788	0.072211	4.617913e-01
111196.666667	0.145095	1.291311e-02
121295.454545	0.097503	2.145860e-02
131394.242424	1.204933	3.475673e-03
141493.030303	0.704283	8.974073e-03
151591.818182	0.339341	8.332103e-02
161690.606061	0.326559	7.939968e-03
171789.393939	1.073605	8.244519e-03
181888.181818	1.027101	1.126886e-02
191986.969697	0.036689	1.593435e-01
202085.757576	0.123231	1.451182e-02
212184.545455	0.065901	8.418118e-02
222283.333333	0.004215	1.522991e-01
232382.121212	1.067052	1.930750e-02
242480.909091	0.112598	2.232324e-02
252579.696970	0.000000	2.385543e-01
262678.484848	0.898968	2.333959e-03
272777.272727	0.969923	6.601401e-03
282876.060606	0.016202	2.938700e-02
292974.848485	0.067880	4.556509e-02
303073.636364	2.108552	2.351066e-03
313172.424242	0.094688	2.565611e-02
323271.212121	0.053000	2.133586e-01
333370.000000	0.437395	9.525241e-03
343468.787879	0.180775	6.033433e-03
353567.575758	0.256100	1.720262e-02
363666.363636	0.029029	1.501323e-02
373765.151515	0.549585	9.041045e-03
383863.939394	0.149906	7.963435e-02
393962.727273	0.252715	1.097488e-02
404061.515152	0.000000	7.920001e+00
414160.303030	0.452213	1.584072e-02
424259.090909	0.961610	9.489985e-03
434357.878788	0.542534	5.566338e-03
444456.666667	0.000000	9.729731e-02
454555.454545	0.039643	3.567190e-02
464654.242424	0.580506	3.299013e-02
474753.030303	0.360435	7.982786e-03
484851.818182	0.007257	1.544024e-01
494950.606061	0.736654	1.324724e-02
505049.393939	0.288184	1.053702e-01
515148.181818	0.660110	7.907536e-03
525246.969697	1.388894	5.918903e-03
535345.757576	0.189800	2.773051e-02
545444.545455	0.106352	1.277691e-02
555543.333333	0.113012	9.093607e-02
565642.121212	0.100076	9.045643e-02
575740.909091	0.618315	7.753333e-03
585839.696970	0.468046	3.645680e-03
595938.484848	0.000000	2.890511e-01
606037.272727	5.247521	3.383061e-04
616136.060606	0.137936	2.829494e-02
626234.848485	3.986721	3.359776e-03
636333.636364	0.102760	3.229019e-03
646432.424242	0.007107	2.627812e-02
656531.212121	0.000000	4.464488e-02
666630.000000	0.000000	3.000000e-01
676728.787879	0.866817	1.046472e-03
686827.575758	0.000000	3.700935e-01
696926.363636	0.725371	4.396119e-03
707025.151515	0.543188	2.723936e-02
717123.939394	0.000000	1.394366e-01
727222.727273	1.427817	2.265585e-03
737321.515152	2.939317	2.947763e-04
747420.303030	13.067617	3.977292e-04
757519.090909	3.193498	3.666467e-03
767617.878788	102.196497	1.211479e-05
777716.666667	102.553315	8.774221e-06
787815.454545	223.561176	6.439398e-06
797914.242424	190.178437	7.223150e-06
808013.030303	83.292147	1.043764e-05
818111.818182	17.171776	1.210869e-04
828210.606061	10.912299	8.847016e-05
838309.393939	0.298143	3.115487e-04
848408.181818	1.081792	1.111324e-02
858506.969697	1.026620	1.590572e-02
868605.757576	0.211427	1.032272e-01
878704.545455	0.000000	7.764706e-01
888803.333333	0.000000	1.384615e-01
898902.121212	0.910347	5.325091e-03
909000.909091	0.061504	1.139106e-01
919099.696970	0.005209	2.158456e-02
929198.484848	1.217143	4.853466e-03
939297.272727	0.309675	6.382657e-02
949396.060606	0.321218	2.917989e-02
959494.848485	2.351579	1.342263e-03
969593.636364	1.152701	6.643423e-03
979692.424242	1.055111	6.228715e-03
989791.212121	0.266783	1.373240e-02
999890.000000	0.490098	4.063970e+00
